Climatelab code,Lat,Long,Start,End,Equipment,Type,Shelter
4878-1-DS-15,-16.8736,145.7458,10 Mar 2009,02 Sep 2013,DB: MiG,WIKA (24118),Small Stevenson
4878-1-DS-16,-16.8736,145.7458,10 Mar 2009,12 Aug 2013,DB: MiG,WIKA (24125),Small Stevenson
4878-1-DS-17,-16.8736,145.7458,13 Mar 2009,12 Aug 2013,DB: MiG,WIKA (20293),Small Stevenson
4878-1-DS-18,-16.8736,145.7458,13 Mar 2009,12 Aug 2013,DB: MiG,WIKA (23032),Small Stevenson
4878-1-DS-19,-16.8736,145.7458,15 Mar 2013,Unclear,DB: MiG,Dobbie (12589),Small Stevenson
4878-1-DS-20,-16.8736,145.7458,12 Aug 2013,Unclear,DB: MiG,WIKA (22989),Small Stevenson
4878-1-DS-21,-16.8736,145.7458,12 Oct 2014,Unclear,DB: MiG,Dobbie (3172),Small Stevenson
4878-1-DS-22,-16.8736,145.7458,12 Oct 2014,Unclear,DB: MiG,WIKA (28782),Small Stevenson
4878-1-DS-23,-16.8736,145.7458,12 Oct 2014,Unclear,DB: MiG,WIKA (28789),Small Stevenson
4878-1-DS-24,-16.8736,145.7458,02 Dec 2014,Unclear,DB: MiG,Dobbie (CBM644),Small Stevenson
4878-1-DS-25,-16.8736,145.7458,02 Dec 2014,Unclear,DB: MiG,Dobbie (CBM793),Small Stevenson
4878-1-DS-26,-16.8736,145.7458,16 Apr 2016,Unclear,DB: MiG,Dobbie (20369),Small Stevenson
4878-1-DS-27,-16.8736,145.7458,16 Apr 2016,Unclear,DB: MiG,Dobbie (21724),Small Stevenson
4878-1-DS-28,-16.8736,145.7458,16 Apr 2016,Unclear,DB: MiG,WIKA (22998),Small Stevenson
4878-1-DS-29,-16.8736,145.7458,16 Apr 2016,Unclear,DB: MiG,WIKA (23023),Small Stevenson
4878-1-DS-30,-16.8736,145.7458,16 Apr 2016,Still active*,DB: MiG,WIKA (24156),Small Stevenson

031016: Cooktown Post Office,-15.4633,145.2500,Jan 1907,Dec 1987
NO METADATA AVAILABLE

031017: Cooktown Mission Strip,-15.4486,145.1861,Nov 1942,Sep 2002
4892-17-AX-0,-15.4486,145.1861,01 Jul 1987,16 Apr 1999,AiG (Min),Dobbie (4681),
4892-17-AX-1,-15.4486,145.1861,16 Apr 1999,19 Sep 2002,AiG (Min),Dobbie (3674),

4892-17-MX-0,-15.4486,145.1861,01 Jul 1987,19 Sep 2002,MiG (Max),Dobbie (1375),

4892-17-DX-0,-15.4486,145.1861,01 Jul 1987,19 Sep 2002,DB: MiG,Dobbie (53703),

031022: Dimbulah Brickley St,-17.1492,145.1086,Jan 1932,Dec 1942
NO METADATA AVAILABLE

031029: Herberton Mowbray Rd,-17.3803,145.3884,Jan 1907,Sep 1991
4883-0-AX-0,-17.385076,145.386916,01 Jan 1886,30 Sep 1991,AiG (Min),Unknown (Unknown),

4883-0-MX-0,-17.385076,145.386916,01 Jan 1886,30 Sep 1991,MiG (Max),Unknown (Unknown),

4883-0-DX-0,-17.385076,145.386916,01 Jan 1886,30 Sep 1991,DB: MiG,Unknown (Unknown),

031034: Kairi Research Station,-17.2186,145.5650,Jan 1952,Oct 2011
4882-0-AX-0,-17.215,145.5656,01 Jan 1952,08 Oct 2004,AiG (Min),Dobbie (5184),
4882-0-AX-1,-17.215,145.5656,08 Oct 2004,06 Aug 2007,AiG (Min),Amarol (21850),
4882-0-AX-2,-17.215,145.5656,29 Nov 2006,26 Oct 2011,AiG (Min),WIKA (43097),
4882-1-AX-0,-17.2186,145.565,26 Oct 2011,Unclear,AiG (Min),WIKA (43097),
4882-0-AX-0,-17.215,145.5656,29 Jun 2007,03 Jul 2007,AiG (Min),Dobbie (M0100),
4882-0-AX-1,-17.215,145.5656,03 Jul 2007,26 Oct 2011,AiG (Min),Dobbie (M0100),
4882-1-AX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,AiG (Min),Dobbie (M0100),
4882-0-AX-0,-17.215,145.5656,06 Aug 2007,25 Oct 2011,AiG (Min),Dobbie (24430),
4882-0-AX-1,-17.215,145.5656,03 Dec 2009,26 Oct 2011,AiG (Min),Amarol (27613),
4882-1-AX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,AiG (Min),Amarol (27613),
4882-0-AX-0,-17.215,145.5656,18 Mar 2011,18 Mar 2011,AiG (Min),Dobbie (M0100),
4882-0-AX-1,-17.215,145.5656,18 Mar 2011,25 Oct 2011,AiG (Min),Dobbie (43093),
4882-0-AX-2,-17.215,145.5656,25 Oct 2011,25 Oct 2011,AiG (Min),Dobbie (24430),
4882-0-AX-3,-17.215,145.5656,25 Oct 2011,26 Oct 2011,AiG (Min),Dobbie (43093),
4882-1-AX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,AiG (Min),Dobbie (43093),

4882-0-MX-0,-17.215,145.5656,01 Jan 1952,19 Oct 2006,MiG (Max),Dobbie (M1405),
4882-0-MX-1,-17.215,145.5656,22 Mar 2006,29 Mar 2006,MiG (Max),WIKA (44411),
4882-0-MX-2,-17.215,145.5656,29 Mar 2006,29 Mar 2006,MiG (Max),Dobbie (M1405),
4882-0-MX-3,-17.215,145.5656,29 Mar 2006,16 Dec 2006,MiG (Max),WIKA (44411),
4882-0-MX-4,-17.215,145.5656,15 Dec 2006,15 Dec 2006,MiG (Max),WIKA (44411),
4882-0-MX-5,-17.215,145.5656,15 Dec 2006,23 Sep 2008,MiG (Max),WIKA (44404),
4882-0-MX-6,-17.215,145.5656,16 Dec 2006,16 Dec 2006,MiG (Max),WIKA (44404),
4882-0-MX-7,-17.215,145.5656,16 Dec 2006,25 Oct 2011,MiG (Max),WIKA (44411),
4882-0-MX-8,-17.215,145.5656,03 Dec 2009,26 Oct 2011,MiG (Max),WIKA (44404),
4882-1-MX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,MiG (Max),WIKA (44404),
4882-0-MX-0,-17.215,145.5656,25 Oct 2011,26 Oct 2011,MiG (Max),WIKA (44411),
4882-1-MX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,MiG (Max),WIKA (44411),

4882-0-TX-0,-17.215,145.5656,01 Jan 1952,17 Sep 1984,Thermograph,Daily (272),

4882-0-DX-0,-17.215,145.5656,01 Jan 1952,25 Oct 2011,DB: MiG,Dobbie (5705),
4882-0-DX-1,-17.215,145.5656,25 Oct 2011,26 Oct 2011,DB: MiG,Dobbie (5705),
4882-1-DX-0,-17.2186,145.565,26 Oct 2011,19 Jan 2012,DB: MiG,Dobbie (5705),

031037: Low Isles Lighthouse,-16.3842,145.5592,Oct 1967,May 2019
4873-0-AX-0,-16.3842,145.5592,01 Oct 1967,26 Sep 2000,AiG (Min),Dobbie (M6570),

4873-0-MX-0,-16.3842,145.5592,01 Oct 1967,25 Sep 2001,MiG (Max),Dobbie (M0311),

4873-0-PX-0,-16.3842,145.5592,20 Mar 1998,17 Jun 2005,Probe,Rosemount (0248),
4873-0-PX-1,-16.3842,145.5592,17 Jun 2005,17 Feb 2006,Probe,Rosemount (0277),
4873-0-PX-2,-16.3842,145.5592,17 Feb 2006,Still active*,Probe,Temp Control TCBMP01 (10104),

4873-0-DX-0,-16.3842,145.5592,01 Oct 1967,03 Sep 2003,DB: MiG,Dobbie (M6809),

031052: Port Douglas - Warner St,-16.4833,145.4639,Jan 1907,Dec 1968
4873-1-AX-0,-16.4792,145.4656,01 Jan 1907,23 Aug 1967,AiG (Min),Negretti and Zambra (3257),
4873-1-AX-1,-16.4792,145.4656,23 Aug 1967,31 Dec 1968,AiG (Min),Dobbie (3257),

4873-1-MX-0,-16.4792,145.4656,01 Jan 1907,23 Aug 1967,MiG (Max),Negretti and Zambra (2022),
4873-1-MX-1,-16.4792,145.4656,23 Aug 1967,31 Dec 1968,MiG (Max),Dobbie (6875),

4873-1-DX-0,-16.4792,145.4656,01 Jan 1907,23 Aug 1967,DB: MiG,Negretti and Zambra (8592),
4873-1-DX-1,-16.4792,145.4656,23 Aug 1967,31 Dec 1968,DB: MiG,Dobbie (436),

031066: Mareeba Qwrc,-16.9950,145.4253,Apr 1952,Nov 1992
4880-0-AX-0,-16.995,145.4253,01 Jan 1952,27 Nov 1992,AiG (Min),Unknown (Unknown),

4880-0-MX-0,-16.995,145.4253,01 Jan 1952,27 Nov 1992,MiG (Max),Unknown (Unknown),

4880-0-TX-0,-16.995,145.4253,01 Jan 1952,28 Feb 1974,Thermograph,Weekly (Unknown),

4880-0-DX-0,-16.995,145.4253,01 Jan 1952,27 Nov 1992,DB: MiG,Unknown (Unknown),

031076: Parada Research Station,-17.1467,145.2400,Mar 1965,Jun 1976
NO METADATA AVAILABLE

031083: Koombooloomba Dam,-17.8400,145.5956,Jan 1973,Jun 1997
4854-0-AX-0,-17.8333,145.6,01 Aug 1965,12 Dec 1992,AiG (Min),Dobbie (Unknown),
4854-1-AX-0,-17.84,145.5956,12 Dec 1992,21 Jun 1997,AiG (Min),Dobbie (Unknown),

4854-0-MX-0,-17.8333,145.6,01 Aug 1965,12 Dec 1992,MiG (Max),Dobbie (Unknown),
4854-1-MX-0,-17.84,145.5956,12 Dec 1992,21 Jun 1997,MiG (Max),Dobbie (Unknown),

4854-0-DX-0,-17.8333,145.6,01 Aug 1965,12 Dec 1992,DB: MiG,Dobbie (Unknown),
4854-1-DX-0,-17.84,145.5956,12 Dec 1992,21 Jun 1997,DB: MiG,Dobbie (Unknown),

031084: Fitzroy Island Lighthouse,-16.9267,146.0033,Jul 1968,Mar 1991
4871-0-AX-0,-16.9267,146.0033,28 May 1968,12 Mar 1991,AiG (Min),Unknown (Unknown),

4871-0-MX-0,-16.9267,146.0033,28 May 1968,12 Mar 1991,MiG (Max),Unknown (Unknown),

4871-0-DX-0,-16.9267,146.0033,28 May 1968,12 Mar 1991,DB: MiG,Unknown (Unknown),

031108: Walkamin Research Station,-17.1347,145.4281,Aug 1968,May 2019
4882-2-AX-0,-17.1347,145.4281,01 Aug 1968,Unclear,AiG (Min),Dobros (M1556),
4882-2-AX-1,-17.1347,145.4281,13 Oct 2009,04 Jul 2011,AiG (Min),Dobbie (20470),
4882-2-AX-2,-17.1347,145.4281,04 Jul 2011,25 Oct 2011,AiG (Min),Amarol (29054),
4882-2-AX-3,-17.1347,145.4281,25 Oct 2011,07 Jun 2012,AiG (Min),Dobros (M1556),
4882-2-AX-4,-17.1347,145.4281,07 Jun 2012,29 Oct 2014,AiG (Min),Amarol (29075),
4882-2-AX-5,-17.1347,145.4281,29 Oct 2014,Still active*,AiG (Min),Dobbie (4544),

4882-2-MX-0,-17.1347,145.4281,01 Aug 1968,05 Sep 2001,MiG (Max),Dobbie (R1266),
4882-2-MX-1,-17.1347,145.4281,05 Sep 2001,28 Mar 2003,MiG (Max),Dobbie (20578),
4882-2-MX-2,-17.1347,145.4281,28 Mar 2003,08 Apr 2003,MiG (Max),Amarol (23443),
4882-2-MX-3,-17.1347,145.4281,08 Apr 2003,07 Dec 2006,MiG (Max),Dobbie (23443),
4882-2-MX-4,-17.1347,145.4281,07 Dec 2006,05 Nov 2009,MiG (Max),Amarol (23525),
4882-2-MX-5,-17.1347,145.4281,05 Nov 2009,28 Sep 2010,MiG (Max),Dobbie (27714),
4882-2-MX-6,-17.1347,145.4281,28 Sep 2010,07 Jun 2012,MiG (Max),Amarol (23525),
4882-2-MX-7,-17.1347,145.4281,07 Jun 2012,Still active*,MiG (Max),Dobbie (27714),

4882-2-TX-0,-17.1347,145.4281,02 Nov 1972,01 Jan 1996,Thermograph,Weekly (Unknown),

4882-2-DX-0,-17.1347,145.4281,01 Jul 1968,Still active*,DB: MiG,Dobbie (15850),

031110: Lakeland Downs Station,-15.8333,144.8500,Feb 1970,Nov 1974
4873-2-AX-0,-15.8333,144.85,01 Feb 1970,31 Dec 1975,AiG (Min),Unknown (Unknown),

4873-2-MX-0,-15.8333,144.85,01 Feb 1970,31 Dec 1975,MiG (Max),Unknown (Unknown),

4873-2-DX-0,-15.8333,144.85,01 Feb 1970,31 Dec 1975,DB: MiG,Unknown (Unknown),

031190: Mareeba Airport,-17.0706,145.4294,Oct 1991,Jun 2002
4880-1-AX-0,-17.0706,145.4294,04 Oct 1991,01 Jul 2002,AiG (Min),Dobros (M1633),

4880-1-MX-0,-17.0706,145.4294,04 Oct 1991,24 Sep 2001,MiG (Max),Dobros (13718),
4880-1-MX-1,-17.0706,145.4294,24 Sep 2001,01 Jul 2002,MiG (Max),Dobros (M3127),

4880-1-DX-0,-17.0706,145.4294,04 Oct 1991,01 Jul 2002,DB: MiG,Dobbie (M1184),

031192: Green Island,-16.7614,145.9719,Jan 1993,Jun 2010
4871-1-PX-0,-16.7614,145.9719,01 Oct 1992,13 May 2003,Probe,Rosemount (NONE),
4871-1-PX-1,-16.7614,145.9719,13 May 2003,16 Jun 2010,Probe,Rosemount (0391),

031193: Atherton,-17.2550,145.4803,Oct 1994,Oct 2008
4882-3-AX-0,-17.255,145.4803,15 Oct 1994,17 May 2000,AiG (Min),Dobbie (12770),
4882-3-AX-1,-17.255,145.4803,17 May 2000,23 Aug 2000,AiG (Min),Dobbie (M5130),
4882-3-AX-2,-17.255,145.4803,23 Aug 2000,13 Oct 2000,AiG (Min),Dobbie (19249),
4882-3-AX-3,-17.255,145.4803,13 Oct 2000,19 Dec 2003,AiG (Min),Dobbie (20686),
4882-3-AX-4,-17.255,145.4803,19 Dec 2003,24 Oct 2008,AiG (Min),Dobbie (23282),

4882-3-MX-0,-17.255,145.4803,15 Oct 1994,13 Aug 2003,MiG (Max),Dobbie (M3988),
4882-3-MX-1,-17.255,145.4803,13 Aug 2003,12 Dec 2003,MiG (Max),Amarol (23413),
4882-3-MX-2,-17.255,145.4803,12 Dec 2003,19 Dec 2003,MiG (Max),Dobbie (23390),
4882-3-MX-3,-17.255,145.4803,19 Dec 2003,23 Jul 2007,MiG (Max),Dobbie (23390),
4882-3-MX-4,-17.255,145.4803,30 Jul 2007,24 Sep 2008,MiG (Max),Dobbie (20854),
4882-3-MX-5,-17.255,145.4803,24 Sep 2008,24 Oct 2008,MiG (Max),Dobbie (17416),

4882-3-DX-0,-17.255,145.4803,15 Oct 1994,25 Sep 2007,DB: MiG,Dobbie (14562),
4882-3-DX-1,-17.255,145.4803,25 Sep 2007,24 Oct 2008,DB: MiG,Dobbie (15845),

031209: Cooktown Airport,-15.4461,145.1861,Jul 2000,May 2019
4892-18-PX-0,-15.4461,145.1861,16 Jun 2000,Still active*,Probe,Rosemount (0445),

031210: Mareeba Airport,-17.0704,145.4293,Jun 2000,May 2019
4880-2-PX-0,-17.0672,145.4283,09 Jun 2000,05 Nov 2016,Probe,Rosemount ST2401 (0435),
4880-3-PX-0,-17.07036,145.42925,05 Nov 2016,Still active*,Probe,Rosemount ST2401 (0435),

031213: Cape Flattery,-14.9672,145.3106,Jun 2003,May 2019
4892-19-PX-0,-14.9672,145.3106,18 Jun 2003,Still active*,Probe,Rosemount (0632),

031222: Cairns Racecourse,-16.9463,145.7474,Aug 2013,May 2019
4870-0-PX-0,-16.946305,145.747366,21 Jun 2013,06 Dec 2016,Probe,Temp Control TCBMP01 (10138),
4870-0-PX-1,-16.946305,145.747366,06 Dec 2016,Still active*,Probe,Rosemount ST2401 (0756),

032004: Cardwell Marine Pde,-18.2544,146.0192,Jan 1907,May 2019
4854-2-AX-0,-18.2581,146.0206,01 Jan 1907,04 Oct 1998,AiG (Min),Unknown (Unknown),
4854-2-AX-1,-18.2581,146.0206,04 Oct 1998,30 Apr 2002,AiG (Min),Dobbie (1175),
4854-2-AX-2,-18.2581,146.0206,30 Apr 2002,02 Apr 2005,AiG (Min),Dobbie (20789),
4854-3-AX-0,-18.2553,146.0197,21 Sep 2005,03 Feb 2011,AiG (Min),Dobbie (20789),
4854-4-AX-0,-18.2544,146.0192,07 Apr 2011,Still active*,AiG (Min),Dobbie (20789),

4854-2-MX-0,-18.2581,146.0206,01 Jan 1907,04 Oct 1998,MiG (Max),Unknown (Unknown),
4854-2-MX-1,-18.2581,146.0206,04 Oct 1998,29 Sep 2001,MiG (Max),Dobros (3843),
4854-2-MX-2,-18.2581,146.0206,29 Sep 2001,02 Apr 2005,MiG (Max),Dobros (19065),
4854-3-MX-0,-18.2553,146.0197,21 Sep 2005,03 Feb 2011,MiG (Max),Dobros (19065),
4854-4-MX-0,-18.2544,146.0192,07 Apr 2011,Still active*,MiG (Max),Dobros (19065),

4854-2-DX-0,-18.2581,146.0206,01 Jan 1907,04 Oct 1998,DB: MiG,Unknown (Unknown),
4854-2-DX-1,-18.2581,146.0206,04 Oct 1998,02 Apr 2005,DB: MiG,Dobbie (1432),
4854-3-DX-0,-18.2553,146.0197,21 Sep 2005,03 Feb 2011,DB: MiG,Dobbie (20188),
4854-4-DX-0,-18.2544,146.0192,07 Apr 2011,30 Jun 2011,DB: MiG,Dobbie (20188),
4854-4-DX-1,-18.2544,146.0192,30 Jun 2011,Still active*,DB: MiG,WIKA (28747),

032005: Cape Cleveland Lighthouse,-19.1833,147.0167,Sep 1927,Nov 1987
NO METADATA AVAILABLE

032025: Innisfail,-17.5249,146.0345,Jan 1908,May 2019
4858-0-AX-0,-17.5233,146.0317,01 Jan 1908,18 Nov 1996,AiG (Min),Dobros (5035),
4858-0-AX-1,-17.5233,146.0317,18 Nov 1996,03 Dec 1999,AiG (Min),Dobros (5035),
4858-1-AX-0,-17.52494,146.03446,03 Dec 1999,09 Jul 2007,AiG (Min),Dobros (5035),
4858-1-AX-1,-17.52494,146.03446,09 Jul 2007,12 Oct 2007,AiG (Min),Amarol (23308),
4858-1-AX-2,-17.52494,146.03446,12 Oct 2007,16 Nov 2016,AiG (Min),Amarol (27608),
4858-1-AX-3,-17.52494,146.03446,16 Nov 2016,11 Jan 2018,AiG (Min),Amarol (23308),
4858-1-AX-4,-17.52494,146.03446,11 Jan 2018,Still active*,AiG (Min),Dobbie (17063),

4858-0-MX-0,-17.5233,146.0317,01 Jan 1908,18 Nov 1996,MiG (Max),Dobros (3982),
4858-0-MX-1,-17.5233,146.0317,18 Nov 1996,03 Dec 1999,MiG (Max),Dobros (3982),
4858-1-MX-0,-17.52494,146.03446,03 Dec 1999,22 Jan 2013,MiG (Max),Dobros (3982),
4858-1-MX-1,-17.52494,146.03446,22 Jan 2013,Still active*,MiG (Max),Amarol (30196),

4858-0-DX-0,-17.5233,146.0317,01 Jan 1908,18 Nov 1996,DB: MiG,Dobbie (1425),
4858-0-DX-1,-17.5233,146.0317,18 Nov 1996,03 Dec 1999,DB: MiG,Dobbie (1425),
4858-1-DX-0,-17.52494,146.03446,03 Dec 1999,Unclear,DB: MiG,Dobbie (1425),
4858-1-DX-1,-17.52494,146.03446,18 Nov 2009,15 Dec 2010,DB: MiG,Dobbie (16744),
4858-1-DX-2,-17.52494,146.03446,15 Dec 2010,Still active*,DB: MiG,Amarol (24174),

032037: South Johnstone Exp Stn,-17.6053,145.9972,Jan 1944,May 2019
4859-0-AX-0,-17.6056,145.9969,01 Jan 1943,23 Sep 1999,AiG (Min),Dobbie (R3204),
4859-0-AX-1,-17.6056,145.9969,23 Sep 1999,28 Sep 2000,AiG (Min),Dobbie (5921),

4859-0-MX-0,-17.6056,145.9969,01 Jan 1943,28 Sep 2000,MiG (Max),Dobros (M1368),

4859-0-PX-0,-17.6056,145.9969,13 Oct 1999,13 Oct 2007,Probe,Rosemount ST2401 (0424),
4859-1-PX-0,-17.6053,145.9972,13 Oct 2007,Still active*,Probe,Rosemount ST2401 (0424),

4859-0-TX-0,-17.6056,145.9969,01 Jan 1952,01 Jun 1982,Thermograph,Daily (Unknown),

4859-0-DX-0,-17.6056,145.9969,01 Jan 1943,01 Nov 1999,DB: MiG,Dobbie (3198),
4859-0-DX-1,-17.6056,145.9969,01 Nov 1999,27 Sep 2001,DB: MiG,Dobbie (NONE),

032040: Townsville Aero,-19.2483,146.7661,Oct 1940,May 2019
4810-0-AL-0,-19.2492,146.7647,01 Nov 1940,08 Dec 1994,AiG (Min),Unknown (Unknown),Large Stevenson
4810-1-AS-0,-19.2483,146.7661,08 Dec 1994,06 Oct 1998,AiG (Min),Unknown (Unknown),Small Stevenson
4810-1-AS-1,-19.2483,146.7661,06 Oct 1998,30 Sep 2001,AiG (Min),Dobbie (M6598),Small Stevenson
4810-1-AS-2,-19.2483,146.7661,30 Sep 2001,10 Aug 2004,AiG (Min),Dobbie (13256),Small Stevenson
4810-1-AS-3,-19.2483,146.7661,10 Aug 2004,Unclear,AiG (Min),Dobbie (19203),Small Stevenson
4810-1-AS-4,-19.2483,146.7661,27 Aug 2005,28 Jan 2006,AiG (Min),Dobbie (24293),Small Stevenson
4810-1-AS-5,-19.2483,146.7661,28 Jan 2006,29 Sep 2006,AiG (Min),Dobbie (43096),Small Stevenson
4810-1-AS-6,-19.2483,146.7661,29 Sep 2006,30 Apr 2016,AiG (Min),Dobbie (43036),Small Stevenson
4810-1-AS-7,-19.2483,146.7661,18 Jun 2007,21 Jun 2007,AiG (Min),WIKA (43090),Small Stevenson
4810-1-AS-8,-19.2483,146.7661,30 Apr 2010,21 Jan 2017,AiG (Min),WIKA (29042),Small Stevenson

4810-0-ML-0,-19.2492,146.7647,01 Nov 1940,08 Dec 1994,MiG (Max),Unknown (Unknown),Large Stevenson
4810-1-MS-0,-19.2483,146.7661,08 Dec 1994,06 Oct 1998,MiG (Max),Unknown (Unknown),Small Stevenson
4810-1-MS-1,-19.2483,146.7661,06 Oct 1998,30 Dec 1998,MiG (Max),Dobbie (M2388),Small Stevenson
4810-1-MS-2,-19.2483,146.7661,30 Dec 1998,16 Mar 2003,MiG (Max),Dobros (M1356),Small Stevenson
4810-1-MS-3,-19.2483,146.7661,16 Mar 2003,27 Jan 2014,MiG (Max),Dobros (13378),Small Stevenson
4810-1-MS-4,-19.2483,146.7661,27 Jan 2014,30 Apr 2016,MiG (Max),Dobbie (13431),Small Stevenson

4810-1-PS-0,-19.2483,146.7661,08 Dec 1994,17 Sep 2002,Probe,Rosemount (NONE),Small Stevenson
4810-1-PS-1,-19.2483,146.7661,17 Sep 2002,Still active*,Probe,Rosemount ST2401 (0246),Small Stevenson

4810-0-TL-0,-19.2492,146.7647,01 Nov 1940,08 Dec 1994,Thermograph,Fielden (Unknown),Large Stevenson

4810-0-DL-0,-19.2492,146.7647,01 Nov 1940,08 Dec 1994,DB: MiG,Unknown (Unknown),Large Stevenson
4810-1-DS-0,-19.2483,146.7661,08 Dec 1994,06 Oct 1998,DB: MiG,Unknown (Unknown),Small Stevenson
4810-1-DS-1,-19.2483,146.7661,06 Oct 1998,18 Apr 2014,DB: MiG,Dobbie (M6233),Small Stevenson
4810-1-DS-2,-19.2483,146.7661,18 Apr 2014,30 Apr 2016,DB: MiG,Dobbie (20377),Small Stevenson

032061: Bottom Of Pin Gin Hill,-17.5333,145.9667,Jan 1965,Aug 1982
NO METADATA AVAILABLE

032071: Townsville Hospital,-19.3000,146.8000,Jan 1931,Dec 1940
NO METADATA AVAILABLE

032078: Ingham Composite,-18.6494,146.1769,Feb 1968,May 2019
4850-0-AX-0,-18.6494,146.1767,26 Feb 1968,12 Oct 2002,AiG (Min),Dobbie (20484),
4850-1-AX-0,-18.6494,146.1769,12 Oct 2002,Unclear,AiG (Min),Dobbie (20484),
4850-0-AX-0,-18.6494,146.1767,26 Feb 1968,05 Mar 2001,AiG (Min),Dobbie (3783),
4850-0-AX-1,-18.6494,146.1767,05 Jun 2002,12 Oct 2002,AiG (Min),Amarol (20680),
4850-1-AX-0,-18.6494,146.1769,12 Oct 2002,18 Jun 2013,AiG (Min),Amarol (20680),
4850-1-AX-1,-18.6494,146.1769,18 Jun 2013,11 Apr 2015,AiG (Min),WIKA (31162),
4850-1-AX-2,-18.6494,146.1769,11 Apr 2015,23 Oct 2016,AiG (Min),Amarol (20680),
4850-1-AX-3,-18.6494,146.1769,23 Oct 2016,24 Oct 2016,AiG (Min),WIKA (32976),
4850-1-AX-4,-18.6494,146.1769,24 Oct 2016,Still active*,AiG (Min),Amarol (20680),

4850-0-MX-0,-18.6494,146.1767,26 Feb 1968,12 Oct 2002,MiG (Max),Dobbie (M3993),
4850-1-MX-0,-18.6494,146.1769,12 Oct 2002,13 Jan 2004,MiG (Max),Dobbie (M3993),
4850-1-MX-1,-18.6494,146.1769,13 Jan 2004,28 Jan 2004,MiG (Max),Dobbie (23421),
4850-1-MX-2,-18.6494,146.1769,28 Jan 2004,23 Oct 2006,MiG (Max),Dobbie (22050),
4850-1-MX-3,-18.6494,146.1769,23 Oct 2006,01 Sep 2009,MiG (Max),Dobbie (23421),
4850-1-MX-4,-18.6494,146.1769,01 Sep 2009,25 Oct 2009,MiG (Max),Amarol (30342),
4850-1-MX-5,-18.6494,146.1769,25 Oct 2009,01 Nov 2010,MiG (Max),Dobbie (23421),
4850-1-MX-6,-18.6494,146.1769,01 Nov 2010,13 Nov 2014,MiG (Max),Amarol (30342),
4850-1-MX-7,-18.6494,146.1769,13 Nov 2014,26 Oct 2016,MiG (Max),Amarol (21981),
4850-1-MX-8,-18.6494,146.1769,26 Oct 2016,Still active*,MiG (Max),Amarol (27709),

4850-0-DX-0,-18.6494,146.1767,26 Feb 1968,12 Oct 2002,DB: MiG,Dobbie (14579),
4850-1-DX-0,-18.6494,146.1769,12 Oct 2002,Still active*,DB: MiG,Dobbie (14579),

032135: Cowley Jttre,-17.6833,146.1167,Dec 1978,Aug 1982
NO METADATA AVAILABLE

032136: Earls Court Jttre,-17.7667,145.8000,Aug 1978,Feb 1979
NO METADATA AVAILABLE

032137: Liverpool Creek Jttre,-17.7167,145.8500,Nov 1979,Aug 1982
NO METADATA AVAILABLE

032141: Lucinda Point,-18.5203,146.3861,Aug 1980,May 2019
4850-2-PX-0,-18.5203,146.3861,01 Jun 1980,01 Jun 2006,Probe,Rosemount (NONE),
4850-2-PX-1,-18.5203,146.3861,01 Jun 2006,15 May 2015,Probe,Rosemount ST2401 (338),
4850-2-PX-2,-18.5203,146.3861,15 May 2015,Still active*,Probe,Temp Control TCBMP01 (10067),

032178: Townsville Aero Comparison,-19.2492,146.7647,Dec 1994,Dec 2000
6015-0-AX-0,Undefined,Undefined,01 Dec 1994,08 Dec 1994,AiG (Min),Dobbie (M3832),
4810-0-AX-0,-19.2492,146.7647,08 Dec 1994,01 Jan 2001,AiG (Min),Dobbie (M3832),

6015-0-MX-0,Undefined,Undefined,01 Dec 1994,08 Dec 1994,MiG (Max),Dobros (2212),
4810-0-MX-0,-19.2492,146.7647,08 Dec 1994,01 Jan 2001,MiG (Max),Dobros (2212),

4810-0-TX-0,-19.2492,146.7647,08 Dec 1994,15 Dec 1998,Thermograph,Fielden (Unknown),

6015-0-DX-0,Undefined,Undefined,01 Dec 1994,08 Dec 1994,DB: MiG,Dobbie (M3075),
4810-0-DX-0,-19.2492,146.7647,08 Dec 1994,25 Sep 1999,DB: MiG,Dobbie (M3075),
4810-0-DX-1,-19.2492,146.7647,25 Sep 1999,01 Jan 2001,DB: MiG,Dobbie (16857),

032182: Cape Ferguson NTC AWS,-19.2774,147.0586,May 2013,May 2019
4811-0-PX-0,-19.27737,147.05856,12 Sep 1991,10 Aug 2009,Probe,YSI NTC-A (Unknown),
4811-0-PX-1,-19.27737,147.05856,10 Aug 2009,08 May 2014,Probe,Temp Control TCBMP01 (10251/1),
4811-0-PX-2,-19.27737,147.05856,08 May 2014,08 May 2014,Probe,YSI NTC-A (002),
4811-0-PX-3,-19.27737,147.05856,08 May 2014,12 Dec 2017,Probe,YSI NTC-A (006),
